source,date,channel,product,text,language,clean_text,topic,sentiment,annotator,confidence
CRM Tool,11/11/2025 00:00,Service Web,Central Custody Unit (CCU),confirm the below security cif accountnumber namegaitega,english,confirm the below security cif accountnumber namegaitega,,,,
CRM Tool,03/11/2025 00:00,Service Email,Mobile,you for your response now i reside out of the country i cant visit any branch for now whatnbspshould i do to get access to my account please,english,you for your response now i reside out of the country i cant visit any branch for now what i do to get access to my account please,,,,
CRM Tool,10/11/2025 00:00,Service Email,Mobile,nbspname you appdate my mobile app,unknown,you appdate my mobile app,,,,
CRM Tool,06/12/2025 00:00,Service Web,Card Production,card error for accountnumber munazaliya jemimah card,unknown,card error for accountnumber munazaliya jemimah card,,,,
CRM Tool,26/11/2025 00:00,Service Email,Mobile,you for your response i would like to informnbspyou that the process proceeded well i got the password screen shot i would request my personal details concerning addresses and postal codenbsp,english,you for your response i would like to inform that the process proceeded well i got the password screen shot i would request my personal details concerning addresses and postal code,,,,
CRM Tool,04/11/2025 00:00,Service Email,Mobile,i cant access my mobile bankingnbsp,unknown,i cant access my mobile banking,,,,
CRM Tool,18/11/2025 00:00,Service Email,Eazzy 247/USSD,i need your assistant of unblocking my m banking pin that was blocked on th nov am email wrote assist me my m banking pin be active as it was blocked th this month pm email wrote,unknown,i need your assistant of unblocking my m banking pin that was blocked on th nov am email wrote assist me my m banking pin be active as it was blocked th this month pm email wrote,,,,
CRM Tool,22/11/2025 00:00,Service Email,M-Banking Fraud,namename on of on th i am writing to formally and urgently follow up on the complaint i lodged on th regarding unauthorized use of my contact information which is linked to my account the enquiry ticket being opened on the same date i have not received any response update or resolution to date i continue to receive calls from individuals claiming that i have contacted them yet i have not initiated any such communication raises serious concerns about data privacy breaches and the possible compromise of my personal information within your systems note that as a customer i am entitled to the protection of my personal data under the relevant data protection laws including the obligation on to ensure confidentiality integrity and lawful use of my information continued delay in addressing this matter exposes me to reputational risk harassment and potential fraud i hereby request the following within the next hours a formal update on the status of the enquiry opened on th including the ticket reference number a clear explanation of how my contact information is being used and why individuals claim they are receiving calls attributed to my number corrective action to stop any further misuse of my contact details confirmation of compliance measures taken to safeguard my data going forward to address this matter promptly will leave me with no option but to escalate the issue to the of the odpc and pursue further action for breach of my rights i expect your urgent attention and a written response within the stipulated timeframe pm email wrote i hope this message finds you well is id idnumber and i am a registered line user i am writing to formally report a serious concern regarding alleged calls made from my number to unknown individuals people have contacted me claiming that i have been calling them yet i have not made such calls i am deeply concerned that my line or account may have been compromised or cloned i previously contacted your and was informed that the matter would be investigated i would like to make this a formal written report for proper documentation and followup any unauthorized activity or call records associated with my line whether my sim card or linked account has been cloned or accessed fraudulently a written update or reference number for this complaint for future correspondence verification please find my details below id idnumber treat this as urgent as the matter may affect my reputation and security you for your prompt attention i look forward to your response and resolution regards,english,namename on of on th i am writing to formally and urgently follow up on the complaint i lodged on th regarding unauthorized use of my contact information which is linked to my account the enquiry ticket being opened on the same date i have not received any response update or resolution to date i continue to receive calls from individuals claiming that i have contacted them yet i have not initiated any such communication raises serious concerns about data privacy breaches and the possible compromise of my personal information within your systems note that as a customer i am entitled to the protection of my personal data under the relevant data protection laws including the obligation on to ensure confidentiality integrity and lawful use of my information continued delay in addressing this matter exposes me to reputational risk harassment and potential fraud i hereby request the following within the next hours a formal update on the status of the enquiry opened on th including the ticket reference number a clear explanation of how my contact information is being used and why individuals claim they are receiving calls attributed to my number corrective action to stop any further misuse of my contact details confirmation of compliance measures taken to safeguard my data going forward to address this matter promptly will leave me with no option but to escalate the issue to the of the odpc and pursue further action for breach of my rights i expect your urgent attention and a written response within the stipulated timeframe pm email wrote i hope this message finds you well is id idnumber and i am a registered line user i am writing to formally report a serious concern regarding alleged calls made from my number to unknown individuals people have contacted me claiming that i have been calling them yet i have not made such calls i am deeply concerned that my line or account may have been compromised or cloned i previously contacted your and was informed that the matter would be investigated i would like to make this a formal written report for proper documentation and followup any unauthorized activity or call records associated with my line whether my sim card or linked account has been cloned or accessed fraudulently a written update or reference number for this complaint for future correspondence verification please find my details below id idnumber treat this as urgent as the matter may affect my reputation and security you for your prompt attention i look forward to your response and resolution regards,,,,
CRM Tool,01/12/2025 00:00,Service Email,Merchant Payments and Settlements,see below request for your support namenbsp nbspnbsp namenbsp namenbsp ext nbspcell wnbspname nbspnbspnbspnbspnbspnbsp fc email pm email n email zen garden ltd account accountnumber nd amp rd nov dailystatement requesting for reversal of the below transaction of which was erroneously swiped twice on attached is the excel file highlighting the transaction in yellow nbspname datenbsp number nbspnamenbsp number nbspnamenbsp nbspnamenbsp nbspname backnbsp nbspname back feenbsp nbspname commnbsp nbspname amountnbsp nbspnamenbsp nbspname amountnbsp date zen garden ltdnbsp accountnbsp accountnumbernbsp nd amp rd nov nbspaccountnumbernbsp nbspzen garden ltdnbsp nbspnamenbsp xx xxx nbspvisanbsp nbspnbspnbspnbsp nbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp nbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp nbspnbsp nbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp nbspnbsp nbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp nbspnbsp nbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp nbspkesnbsp nbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp nbspaccountnumbernbsp nbspname nbspidnumbernbsp nbspnbsp expedite reversal you email fc email n email zen garden ltd account accountnumber nd amp rd nov dailystatement reply to email when replying to this email nameplease find statement for date nd amp rd nov you very much for your continued support and choosing to bank with us office and po dl phone accountnumber phone disclaimer email message and any files transmitted with it is intended solely for the individual or entity to whom it is addressed and may contain confidential andor legally privileged information which confidentiality andor privilege is not lost or waived by reason of mistaken transmission you have received this message by error you are not authorized to view disseminate distribute or copy the message without the written consent of and are requested to contact the sender by telephone or email and destroy the original takes all reasonable precautions to ensure that this message and any file transmitted with it is virus free accepts no liability for any damage that may be caused by any virus transmitted by this email,english,see below request for your support name name name ext w fc email pm email n email zen garden ltd account accountnumber nd amp rd nov dailystatement requesting for reversal of the below transaction of which was erroneously swiped twice on attached is the excel file highlighting the transaction in yellow date number number back back fee comm amount amount date zen garden ltd account accountnumber nd amp rd nov garden ltd xx xxx expedite reversal you email fc email n email zen garden ltd account accountnumber nd amp rd nov dailystatement reply to email when replying to this email nameplease find statement for date nd amp rd nov you very much for your continued support and choosing to bank with us office and po dl phone accountnumber phone disclaimer email message and any files transmitted with it is intended solely for the individual or entity to whom it is addressed and may contain confidential andor legally privileged information which confidentiality andor privilege is not lost or waived by reason of mistaken transmission you have received this message by error you are not authorized to view disseminate distribute or copy the message without the written consent of and are requested to contact the sender by telephone or email and destroy the original takes all reasonable precautions to ensure that this message and any file transmitted with it is virus free accepts no liability for any damage that may be caused by any virus transmitted by this email,,,,
CRM Tool,06/11/2025 00:00,Service Email,Mobile,nbspi forgot my accounts password i get help with that,unknown,forgot my accounts password i get help with that,,,,
CRM Tool,24/11/2025 00:00,Service Web,M-Banking Fraud,team attached customer complains on loss of money from her account after she fell prey to fraudsters purporting to be staff for your investigation,english,team attached customer complains on loss of money from her account after she fell prey to fraudsters purporting to be staff for your investigation,,,,
CRM Tool,15/11/2025 00:00,Service Web,Mobile,support delete profile for new enrollment ac no accountnumber,unknown,support delete profile for new enrollment ac no accountnumber,,,,
CRM Tool,01/12/2025 00:00,Service Web,Card Quality,waive for replacement accpint numberaccountnumber card number card serial nofciuae card expiry branchmigori waiver required,unknown,waive for replacement accpint numberaccountnumber card number card serial nofciuae card expiry branchmigori waiver required,,,,
CRM Tool,18/11/2025 00:00,Service Web,Agent Creation & Support Kenya,morning share the tid as the agent is not appearing in the link of agent created on pos,english,morning share the tid as the agent is not appearing in the link of agent created on pos,,,,
CRM Tool,04/12/2025 00:00,Service Email,Mobile,nbspname tring to log in through my prepaid card and the account number am filling in am told its is invalidi was tring to log in to the mobile app,english,tring to log in through my prepaid card and the account number am filling in am told its is invalidi was tring to log in to the mobile app,,,,
CRM Tool,01/11/2025 00:00,Service Email,Mobile,nbspname me to rest my passwordnbsp,unknown,me to rest my password,,,,
CRM Tool,23/11/2025 00:00,Service Email,Mobile,is what am getting when i try to login on my mobile appnbsp,english,is what am getting when i try to login on my mobile app,,,,
CRM Tool,20/11/2025 00:00,Service Email,Mobile,nbspi want to return my accountnbsp,unknown,want to return my account,,,,
CRM Tool,21/11/2025 00:00,Service Email,Remitly,email a namenbsp confirm receipt of these payments at wr email wrote note we have made the following payments kes pop attached confirm receipt of payment message may contain confidential information you are not the intended recipient please notify the sender immediately delete and destroy all copies unauthorised dissemination of this message is not permitted worldremit is a limited company registered in and registration number idnumber,english,email a name confirm receipt of these payments at wr email wrote note we have made the following payments kes pop attached confirm receipt of payment message may contain confidential information you are not the intended recipient please notify the sender immediately delete and destroy all copies unauthorised dissemination of this message is not permitted worldremit is a limited company registered in and registration number idnumber,,,,
CRM Tool,07/11/2025 00:00,Service Web,Motor Vehicle,this is the correct transmittal,english,this is the correct transmittal,,,,
CRM Tool,19/11/2025 00:00,Service Web,Motor Vehicle,assist premium refund for kce m,unknown,assist premium refund for kce m,,,,
CRM Tool,11/11/2025 00:00,Service Web,Mobile,support to delete the profile to enable the customer register afresh noaccountnumber namename,english,support to delete the profile to enable the customer register afresh noaccountnumber namename,,,,
CRM Tool,17/11/2025 00:00,Service Email,Nala Money,has successfully executed a wire to you see the proof of payment generated by the treasury management system of trn date created nov time created blockstpbbbfefdbcbe b cred a usd b usd f accountnumber taptap send uk limited editch gbname ln ecy aa a citius a with eqblkena accountnumber taptap send uk limited ke of taptap send a of sha f usd bank to bank bnftaptap send uk limited of payment issued directly by the bank can be provided upon request regards,english,has successfully executed a wire to you see the proof of payment generated by the treasury management system of trn date created nov time created blockstpbbbfefdbcbe b cred a usd b usd f accountnumber taptap send uk limited editch gbname ln ecy aa a citius a with eqblkena accountnumber taptap send uk limited ke of taptap send a of sha f usd bank to bank bnftaptap send uk limited of payment issued directly by the bank can be provided upon request regards,,,,
CRM Tool,06/11/2025 00:00,Service Email,Mobile,accountnumber id idnumber asman juma email wrote those questionsnbsp email wrote,unknown,accountnumber id idnumber asman juma email wrote those questions email wrote,,,,
CRM Tool,02/12/2025 00:00,Service Web,Mobile,my account please,english,my account please,,,,
CRM Tool,22/11/2025 00:00,Service Email,Personal/Salary Loans,nbspname this message finds you well i would like to inform you that the loan amount of ksh was recovered twice yesterday after a week of consistent followupnbsp there was a reversal of the amount but the loan was again successfully recovered after four hours let me know if any further action is required on this matter you for your attention namenbspregards namenbsp idnumber id,english,this message finds you well i would like to inform you that the loan amount of ksh was recovered twice yesterday after a week of consistent followup there was a reversal of the amount but the loan was again successfully recovered after four hours let me know if any further action is required on this matter you for your attention name name idnumber id,,,,
CRM Tool,19/11/2025 00:00,Service Email,MPESA Transactions,i am following up on the following ticketnbsp kindly share updates on the request that was made regards,english,i am following up on the following ticket kindly share updates on the request that was made regards,,,,
CRM Tool,27/11/2025 00:00,Service Web,Motor Vehicle,issue annual cover certificate as attached regards,unknown,issue annual cover certificate as attached regards,,,,
CRM Tool,25/11/2025 00:00,Service Email,Mobile,email responses no phone responses names going on am email wrote i have contacted customer care number since yesterday no one is picking up how do i get help i get a password reset for my mobile app please pm email wrote i have tried calling the customer care number for over an hour no response stated calls from you are never seen on my endnbsp pm email wrote,english,email responses no phone responses names going on am email wrote i have contacted customer care number since yesterday no one is picking up how do i get help i get a password reset for my mobile app please pm email wrote i have tried calling the customer care number for over an hour no response stated calls from you are never seen on my end pm email wrote,,,,
CRM Tool,10/11/2025 00:00,Service Email,Mobile,nbspname help me have my account unlockednbsp,english,help me have my account unlocked,,,,
CRM Tool,11/11/2025 00:00,Service Web,Motor Vehicle,team authorize endorsement after valuation with,unknown,team authorize endorsement after valuation with,,,,
CRM Tool,06/11/2025 00:00,Service Web,Agent Amendment Requests,share stk code to unblock phone as per attached,unknown,share stk code to unblock phone as per attached,,,,
CRM Tool,03/11/2025 00:00,Service Web,Merchant POS Support Kenya,assist the merchant machine has no apps oisebe okenyuri annastasia nwp idnumber phone,english,assist the merchant machine has no apps oisebe okenyuri annastasia nwp idnumber phone,,,,
surveys,11/03/2025 00:00,email,Pesa Link,team dont even know how to help on serious matters,unknown,team dont even know how to help on serious matters,,,,
CRM Tool,13/11/2025 00:00,Service Web,Card Authorization and Risk,please maintain email contact info for otp delivery for online payments accountnumber as maintained email,unknown,please maintain email contact info for otp delivery for online payments accountnumber as maintained email,,,,
CRM Tool,09/11/2025 00:00,Service Email,Mobile,nbspname mobile app failed to login yet i paste the correct password might be the problem please,english,mobile app failed to login yet i paste the correct password might be the problem please,,,,
CRM Tool,28/11/2025 00:00,Service Web,Card Authorization and Risk,kindly assist to amend online limit as attached,unknown,kindly assist to amend online limit as attached,,,,
CRM Tool,11/11/2025 00:00,Service Email,Mobile,nbspname seeking your help for mobile bank app verificationnbsp i forgot my passwordnbsp,english,seeking your help for mobile bank app verification i forgot my password,,,,
CRM Tool,04/12/2025 00:00,Service Web,Cheques,assist to unuse the below cheque for rebanking accnt accountnumber girls secondary school no used,english,assist to unuse the below cheque for rebanking accnt accountnumber girls secondary school no used,,,,
CRM Tool,11/11/2025 00:00,Service Web,Agent Amendment Requests,stk phone agency code outlet code,unknown,stk phone agency code outlet code,,,,
CRM Tool,17/11/2025 00:00,Service Email,Mobile,nbspi forgot my password and i need to reset it,english,forgot my password and i need to reset it,,,,
CRM Tool,22/11/2025 00:00,Service Email,Mobile,nbspname trying to recover my account which is accountnumber but unfortunately i cant please assistnbsp,english,trying to recover my account which is accountnumber but unfortunately i cant please assist,,,,
CRM Tool,09/11/2025 00:00,Service Email,Mobile,i forget my password to log innbsp,unknown,i forget my password to log in,,,,
CRM Tool,14/11/2025 00:00,Service Web,Motor Vehicle,above vehicle has no bank interest find the attached risknote,english,above vehicle has no bank interest find the attached risknote,,,,
CRM Tool,12/11/2025 00:00,Service Web,Motor Vehicle,m assist with the progress of the above claim w nameu tnbsp nbspnbsp ext nbspcell wnbspname w email pm email m email g email email email email motor vehicle accident claim reporting kdb d it was assessed on at your assessment center w nameu tnbsp nbspnbsp ext nbspcell wnbspname email pm m email g email email email email w email motor vehicle accident claim reporting kdb d if the vehicle has been taken to our assessment centernbsp n nbspname p m e email w m email pm email g email email email email w email motor vehicle accident claim reporting kdb d findnbsp t ext cell w nbspname email pm m email g email email email email w email motor vehicle accident claim reporting kdb d is well noted claim documents to enable us proceed n nbspname p m e email w email am email email email email email email email email email email fwd motor vehicle accident claim reporting kdb d email register the claim as we await further details and documents motor vehicle accident claim reporting kdb d email nameu pm am nameu pm note and register a motor accident for kdb d insured that occurred on along at hrs matter was reported to police station register the claim as we await the claim documents disclaimer email message and any files transmitted with it is intended solely for the individual or entity to whom it is addressed and may contain confidential andor legally privileged information which confidentiality andor privilege is not lost or waived by reason of mistaken transmission you have received this message by error you are not authorized to view disseminate distribute or copy the message without the written consent of and are requested to contact the sender by telephone or email and destroy the original takes all reasonable precautions to ensure that this message and any file transmitted with it is virus free accepts no liability for any damage that may be caused by any virus transmitted by this email,english,m assist with the progress of the above claim w nameu t ext w w email pm email m email g email motor vehicle accident claim reporting kdb d it was assessed on at your assessment center w nameu t ext w email pm m email g email w email motor vehicle accident claim reporting kdb d if the vehicle has been taken to our assessment center n p m e email w m email pm email g email w email motor vehicle accident claim reporting kdb d find t ext cell w email pm m email g email w email motor vehicle accident claim reporting kdb d is well noted claim documents to enable us proceed n p m e email w email am email fwd motor vehicle accident claim reporting kdb d email register the claim as we await further details and documents motor vehicle accident claim reporting kdb d email nameu pm am nameu pm note and register a motor accident for kdb d insured that occurred on along at hrs matter was reported to police station register the claim as we await the claim documents disclaimer email message and any files transmitted with it is intended solely for the individual or entity to whom it is addressed and may contain confidential andor legally privileged information which confidentiality andor privilege is not lost or waived by reason of mistaken transmission you have received this message by error you are not authorized to view disseminate distribute or copy the message without the written consent of and are requested to contact the sender by telephone or email and destroy the original takes all reasonable precautions to ensure that this message and any file transmitted with it is virus free accepts no liability for any damage that may be caused by any virus transmitted by this email,,,,
CRM Tool,01/11/2025 00:00,Service Web,Mobile,assist delete profile for a client of id number idnumber account number accountnumber and mobile number accountnumber under account profile is not visible on bsh but persists errorcustomer already registered with no password reset option upon registration,english,assist delete profile for a client of id number idnumber account number accountnumber and mobile number accountnumber under account profile is not visible on bsh but persists errorcustomer already registered with no password reset option upon registration,,,,
CRM Tool,22/11/2025 00:00,Service Web,MPESA Transactions,assist reverse for who has sent the money from his account accountnumber using the equitel line to phone instead of phone on at back number accountnumber,english,assist reverse for who has sent the money from his account accountnumber using the equitel line to phone instead of phone on at back number accountnumber,,,,
CRM Tool,14/11/2025 00:00,Service Email,Remitly,team hope this message finds you well were informed by our customer that this transfer accountnumber was a scam and we wanted to inform and try to reversethe funds if possible id tts kes of transfer number of the recipient accountnumber you please investigate and revert to us so we can advise the sender accordingly help is highly appreciated nbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp id adeacfaceaca adeacfaceaca fca,english,team hope this message finds you well were informed by our customer that this transfer accountnumber was a scam and we wanted to inform and try to reversethe funds if possible id tts kes of transfer number of the recipient accountnumber you please investigate and revert to us so we can advise the sender accordingly help is highly appreciated id adeacfaceaca fca,,,,
CRM Tool,28/11/2025 00:00,Service Web,Card Authorization and Risk,send pdq merchant statement for tid idnumber and tid idnumber to email email email me,english,send pdq merchant statement for tid idnumber and tid idnumber to email me,,,,
CRM Tool,03/12/2025 00:00,Service Email,Card Authorization and Risk,evening i just spoke to a customer care agent concerning my card declining an online payment but according to your end no transaction has gone through and asked that i send a screenshot for further assistance incase it declines againnbsp,english,evening i just spoke to a customer care agent concerning my card declining an online payment but according to your end no transaction has gone through and asked that i send a screenshot for further assistance incase it declines again,,,,
CRM Tool,11/11/2025 00:00,Service Email,Personal/Salary Loans,a total of was deducted you only reversed names still a shortage of pleasw janet auma email wrote you only reversed the amount on payslup what of the one you deducted from my payksh nbspname then what about that balance of the loan it should be not that figurenbsp email wrote,english,a total of was deducted you only reversed names still a shortage of pleasw janet auma email wrote you only reversed the amount on payslup what of the one you deducted from my payksh then what about that balance of the loan it should be not that figure email wrote,,,,
CRM Tool,15/11/2025 00:00,Service Email,Personal/Salary Loans,i personally paid my loan on first to avoid any delay how come youre deducting again on th there any month i have failed to remit names be serious about thisnbsp,english,i personally paid my loan on first to avoid any delay how come youre deducting again on th there any month i have failed to remit names be serious about this,,,,
