review,rating,date,app_version
It’s good that one can transfer money from jijenge account to normal account via the app,5,2025-01-31T00:30:11-07:00,0.3.8
"Quick, first and reliable.",5,2025-01-24T03:05:04-07:00,0.3.8
The app is convenient at any time… congrats equity 🫡,5,2025-01-17T12:58:55-07:00,0.3.8
Easy to navigate.,4,2025-01-04T08:28:44-07:00,0.3.8
"Your last update broke the ability to add and view fixed deposit accounts, please fix the issue!",5,2024-12-24T00:52:15-07:00,0.3.8
All in one fast and secure no delays,5,2024-12-18T08:31:33-07:00,0.3.8
Very facilitative,5,2024-12-15T05:45:35-07:00,0.3.8
Seamless,5,2024-12-14T11:02:18-07:00,0.3.8
The best app for funds transfer. I can comfortably pay salaries and suppliers any moment of the day. No need to queuest the bank,5,2024-12-10T10:27:00-07:00,0.3.8
Very convenient app,5,2024-12-06T00:53:09-07:00,0.3.7
"Hi.
After the latest bug fix/ app update, the app has stopped using biometric mode for signing in. 
Kindly address this issue
Thanks.",1,2024-12-05T04:01:56-07:00,0.3.7
New update has disabled the face login feature,5,2024-12-03T06:36:01-07:00,0.3.7
Been trying for long answering wrong question always it’s boring now,5,2024-11-20T09:17:09-07:00,0.3.6
"All payments very easy to use, however didn't see an option to pay via till",5,2024-11-14T20:16:46-07:00,0.3.6
Flexible and convinient,5,2024-11-12T07:44:03-07:00,0.3.6
"One of the best mobile bank apps in Kenya.

Keep it up Equity.",5,2024-11-01T15:36:46-07:00,0.3.6
Best app that. Can help u in an emergency very fast n reliable,5,2024-11-01T05:51:40-07:00,0.3.6
The UI/UX has been kept simple and un-crowded making interactions fast and enjoyable,5,2024-10-31T00:34:22-07:00,0.3.6
Great application with state of the art features.,5,2024-10-26T23:55:24-07:00,0.3.5
The app is crashing and slow loading,4,2024-10-21T03:35:22-07:00,0.3.5
Excellent,4,2024-10-02T22:15:16-07:00,0.3.5
Everytime you update the app you must break some functionality. Today the update removes the ability to smoothly load account details. Not sure whether you don’t understand what you are doing or you are intentionally creating bugs to solve them later. Disappointing.,1,2024-09-25T21:22:02-07:00,0.3.5
"As a UI &UX Designer myself, this app has to be the slickest banking app I've ever used. Absolutely love it.
Especially coming from the cooperative app, what equity has to offer here is worlds appart.",5,2024-09-07T02:27:45-07:00,0.3.3
"Very organized app,and easy to use.",5,2024-08-09T16:08:52-07:00,0.3.3
"The app as I’ve read from comments has an issue when it comes to the otp number that was a year ago 
One year down the line it still doesn’t work sends the otp number almost 5 minutes later past it’s valid time and when you call customer support they tell you that your phone is the issue and not their app 
I was at a counter was utterly embarrassed because I had to return everything cause the otp wasn’t working such a big brand like this only to have mediocre service 
Might as well just close my account",1,2024-07-10T08:53:43-07:00,0.3.3
"I am a heavy user of the account but I don’t have loan limit since My loan keeps saying due today yet I’ve already finalize. Due to this I can’t get more money inform of loan. 
It also say your account is neither dsl nor csl that hinders me from applying loan",3,2024-06-17T22:47:18-07:00,0.3.3
"After completing a transaction, the app cannot refresh. One is forced to log out and log in again to do another transaction.",3,2024-06-14T12:32:04-07:00,0.3.2
"Hello, the new update on iOS has a bug. I can’t go back to see my accounts or log off after completing a transaction. Have to close the app and start a fresh to do another transaction really annoying. Kindly fix it",2,2024-06-13T08:44:34-07:00,0.3.2
The app freezes after completing a txn,5,2024-06-13T07:11:03-07:00,0.3.2
Very slow,1,2024-06-13T01:24:30-07:00,0.3.2
Am impressed with how fast the responds kudos,5,2024-06-11T01:22:15-07:00,0.3.1
Slow network transmission,1,2024-06-09T02:10:30-07:00,0.3.1
"On completing a transaction, one has to forcefully restart the app. Doesn’t take you back to the home page. This is happening with the updated version.",5,2024-06-08T10:28:12-07:00,0.3.1
"When performing a transaction to completion the app does not take you to the landing page, you have to forcefully end the app to start again.This  needs to be checked.",5,2024-06-06T19:12:09-07:00,0.3.0
"The font size on the app is toooo tiny and even with my glasses I have to ask someone else to read for me. I have tried zooming in but this is not supported by the app. 
The developer has no regard for users who are visually challenged
If there was negative rating Id give the app -48 out of 50
DTB has one of gthe best user experiences with no microscopic text",1,2024-06-05T13:26:46-07:00,0.3.0
"Hangs on Confirm and would not disappear, don’t know whether it is a bug, other than that the app os very good. Good job and well done.",5,2024-05-31T09:41:50-07:00,0.3.0
The best bank for me❤️,5,2024-05-28T07:34:23-07:00,0.2.9
Easy to use,5,2024-05-14T23:15:49-07:00,0.2.9
Makes banking easy . Reliable . Secure . Has all features a business needs .,5,2024-05-13T07:05:43-07:00,0.2.9
Please include 2 factor authentication,1,2024-05-04T04:12:02-07:00,0.2.9
The IOS version doesn’t have some features like the android. There is no transaction limit management in IOS. Please check and sort.,5,2024-04-26T23:34:12-07:00,0.2.9
I can’t link my paypal account to the app it is telling me non kenyan paypal what do I do,1,2024-04-24T13:10:41-07:00,0.2.9
A major improvement from the app I used to use 2yrs ago. I am glad my company accounts have been included so I can transact on the go,4,2024-04-23T05:32:18-07:00,0.2.9
App’s great. Consider having a dark mode.,4,2024-04-20T13:49:19-07:00,0.2.9
The app is not very friendly to use and operate,4,2024-04-20T07:45:54-07:00,0.2.9
Efficient services. Good Job.,5,2024-04-04T03:03:53-07:00,0.2.9
Excellent,4,2024-02-14T05:17:14-07:00,0.2.9
I have used this app for long and it makes banking super easy!!!,5,2024-02-10T00:18:56-07:00,0.2.9
App not opening. Says I should check my internet connection yet I’m connected and need to make payments 🤦🏽‍♂️ would rather even use PayPal,1,2024-01-30T08:18:19-07:00,0.2.8
Kudos,5,2024-01-25T01:39:54-07:00,0.2.8
Very efficient. Thanks,5,2024-01-04T10:06:09-07:00,0.2.8
Awesome app !,5,2024-01-04T05:05:46-07:00,0.2.8
Excellent,5,2023-12-26T00:54:02-07:00,0.2.8
Very easy and safe,5,2023-12-24T08:02:03-07:00,0.2.8
Good Team Equity For,5,2023-12-21T05:29:53-07:00,0.2.8
All thats left is dark mode. Please!!!,4,2023-12-20T20:10:32-07:00,0.2.8
Fantastic app for all services beyond banking needs. Great stuff!!!,5,2023-12-19T09:33:41-07:00,0.2.7
Awesome and convenient,5,2023-12-16T05:26:57-07:00,0.2.7
"Great app, very convinient",5,2023-12-14T02:17:14-07:00,0.2.6
"Excellent work, You have no options but to improve, Taking into account that room for improvement is the Biggest Room in the World.",5,2023-12-11T09:38:40-07:00,0.2.6
Make it possible for payment to be made to NON-EQUITY tills and pay bills. This Equity till only will make me move to another bank.,5,2023-12-11T05:53:23-07:00,0.2.6
Sometimes the app is non responsive and the money inaccessible,1,2023-12-10T21:27:39-07:00,0.2.6
Slow and not reliable,3,2023-12-09T05:44:48-07:00,0.2.6
thieves,1,2023-12-09T01:36:26-07:00,0.2.6
Good app. Well done,4,2023-12-07T23:06:26-07:00,0.2.6
Most of the times the app does not complete transactions when you key in the OTP. Also recently the app will not connect to the account and you have to keep restarting it. It used to be very good something changed in the last several days,1,2023-12-07T11:41:15-07:00,0.2.6
It’s user friendly.,4,2023-12-07T00:55:20-07:00,0.2.6
There are too many reversals and this might even make one loose their money. Your app is also not consistent,1,2023-12-06T20:14:13-07:00,0.2.6
"Great App, easy compact. I like it best compared to other local banks",5,2023-12-06T04:32:33-07:00,0.2.6
"Easy, fast and secured",5,2023-11-22T01:46:14-07:00,0.2.6
Such a convinient app keep up Equity bank,5,2023-11-13T09:33:23-07:00,0.2.6
"I have a problem signing in. I can’t select country, options are not displayed.",1,2023-11-07T03:33:32-07:00,0.2.6
Perfect,4,2023-10-30T03:32:24-07:00,0.2.5
"Swift, quick and reliable.",5,2023-10-27T08:25:27-07:00,0.2.5
The app is a dreamcome true. I dont have to leave the house at all. Customer service at its best. Keep it up! Well done!,5,2023-10-24T05:11:16-07:00,0.2.5
The updated app seems to have an issue when transferring money from dollar accounts to ksh account or Mpesa. It seems not to accept anything larger than $2 which is a little weird. Maybe a bug or some kind of an error.,1,2023-10-18T20:12:15-07:00,0.2.4
"Great new UI. Is it possible to have, like before, the card balance? That really helped a lot",4,2023-10-17T00:56:01-07:00,0.2.4
Your recent app update has bug issue I can’t send money from USD to KES account it says I have insufficient amount of money and I have enough balance 🧐,1,2023-10-12T23:23:28-07:00,0.2.4
The bank app is easy to use and the customer service support is easily accessible and sorts the issue without you having to leave the comfort of your house,5,2023-10-07T03:24:05-07:00,0.2.3
Enjoying,5,2023-09-30T23:17:09-07:00,0.2.3
Can’t sign in or reset account credentials 😡😡,1,2023-09-28T02:56:35-07:00,0.2.3
Am having to wait at times even about 5 mins to get the OTP for the transaction. This has almost left me stranded which is disappointing,3,2023-09-25T12:05:55-07:00,0.2.3
"Your transaction fees are expensive, you cannot transact less than 100 even though I see my money on my account. It is “my money” no matter how less.

Someone must buy airtime for equitel to maintain network (unnecessary spending), and you deducted my money as a debit card renewal fee. 

You’re just stealing from us. I’d rather use a virtual card on my M-PESA. You’re always looking for a way to deduct some money from someone’s account!",1,2023-09-15T05:04:16-07:00,0.2.3
Your services suck!,1,2023-09-14T05:51:52-07:00,0.2.3
The above option not working,2,2023-09-07T23:49:56-07:00,0.2.3
"A wonderful app, but, can be improved, especially for those using screenreaders.",4,2023-09-02T04:19:05-07:00,0.2.2
Reliable one,5,2023-09-01T04:22:21-07:00,0.2.2
"I have tried setting up face id but it keeps bringing an error "" BIO ID is not available "" even after enabling face ID on my settings. This has happened with the new update. Please rectify the problem",2,2023-08-16T11:23:05-07:00,0.2.2
I regret updating. It wont even open,1,2023-08-16T09:16:07-07:00,0.2.2
The latest updated doesnt capture my phone number and i cant receive OTPs to authorise transactions hence can do any transaction,1,2023-08-15T01:15:07-07:00,0.2.2
The app looks good but the PayPal button works when it pleases. I just got locked out of my account and I’m having a hard time connecting the account again. Sort the mess,1,2023-07-28T05:07:45-07:00,0.2.1
How comes your Apps is not compatible with IPhones Users nowadays....And before it used to work well? What has changed this days,5,2023-07-26T15:51:49-07:00,0.2.1
"Someone behind the computer receiving emails from desperate client seeking help with their account were left hanging ni one is responding please suck this person and give a chance to a able Kenyan who will work tirelessly to serve customers and actualize his mandate 
As for the person on duty 25th of July 2023 that’s a useless employee very lazy doesn’t want to work I sent emails and none were responded too I have to close my account I can’t trust this bank anymore when am in time of need and now that am miles miles away",1,2023-07-26T00:01:34-07:00,0.2.1
Does not show my PayPal balance,2,2023-07-22T00:12:31-07:00,0.2.1
kindly consider introducing dark mode on this app. thank u,5,2023-07-12T07:39:19-07:00,0.2.1
The current version doesn’t display paypal button well,5,2023-07-08T18:12:05-07:00,0.2.1
The new update of mobile banking is slow,5,2023-07-06T08:09:01-07:00,0.2.1
"The application is loading very slow, sometimes when you want make transactions is when it doesn’t work completely, doesn’t refresh",5,2023-07-04T06:56:55-07:00,0.1.9
The app takes hours to load. Worst,2,2023-06-30T05:04:05-07:00,0.1.9
I dearly appreciate how fast and efficient your Equity Mobile application works.Big ups,5,2023-06-29T22:19:32-07:00,0.1.9
App takes forever to load!,1,2023-06-23T09:49:45-07:00,0.1.9
"Where as the APP is very convenient and well designed, it sometimes takes too long to open or doesn’t open at all. Developers Kindly look into that. Many Thanks.",5,2023-06-23T01:23:30-07:00,0.1.9
Night mode for iPhone users would be nice. Kindly consider this,5,2023-06-21T08:18:00-07:00,0.1.9
"They write that this current update has fixed bugs, yet it’s total opposite of that..pure madness…restore the previous version or tell us where we can get the ipa file we downgrade…",1,2023-06-21T00:24:43-07:00,0.1.9
Fast,5,2023-06-14T09:19:02-07:00,0.1.9
It takes too long to send bank the security code and sometimes it’s not sent at all,5,2023-06-14T05:58:13-07:00,0.1.9
Very Disgusting App,1,2023-06-07T13:59:49-07:00,0.1.9
I love equity bank,5,2023-06-06T13:23:27-07:00,0.1.8
Cant pay to till or paybill Either returns wrong name after entry of paybill or tells me biller not found(it looks like the till you entered is incorrect…..),3,2023-06-03T20:05:30-07:00,0.1.8
Good speed,5,2023-05-25T11:06:24-07:00,0.1.8
It keeps shutting down therefore am not able to transact.,1,2023-05-23T09:54:09-07:00,0.1.8
Well done to your tech team; the banking app triumphs many; bank with equity because of the app! KUDOS!,5,2023-05-18T08:13:40-07:00,0.1.8
"You charge SMS Charge even when I didn’t get any otp, i used my pin to approve the transaction",5,2023-05-14T05:53:04-07:00,0.1.8
"Great app. However, Bring dark mode to iOS app.",3,2023-05-12T07:30:20-07:00,0.1.8
The saving option is still showing an error.,2,2023-05-11T00:26:49-07:00,0.1.8
I have been a member for 15 years now. But those 2.26ksh charges on sms and online transactions is a rip off. Time to move on. Adios,3,2023-04-27T01:44:00-07:00,0.1.7
Superb services and faster!!!Will highly recommend you..,5,2023-04-15T20:11:28-07:00,0.1.6
User friendly,5,2023-04-13T12:28:19-07:00,0.1.6
Not very friendly to visually impaired person.,4,2023-03-21T11:40:32-07:00,0.1.5
OTP too long and it’s disappearing from screen,5,2023-03-17T03:08:21-07:00,0.1.5
"This App freezes , I have to uninstall and install multiple times 🤦🏽‍♀️🤦🏽‍♀️",5,2023-02-28T23:03:23-07:00,0.1.5
"Im having troubles logging in to my account 
Any help ASAP",1,2023-02-06T23:39:31-07:00,0.1.3
Very good,5,2023-02-06T00:38:54-07:00,0.1.3
"An excellent, all in one app for all your banking needs.",5,2023-01-30T23:38:52-07:00,0.1.3
Clients report not receiving money sent to them. Could as well be losing money,1,2023-01-27T01:45:57-07:00,0.1.3
Transaction is secure and customer service is top notch,5,2023-01-26T12:09:09-07:00,0.1.3
I think this is the worst bank ever how can my money be withdrawn from my account without my consent and no agent is trying to help retrieve the money,5,2023-01-21T05:17:01-07:00,0.1.3
Perfect,5,2023-01-20T11:33:55-07:00,0.1.3
So far meeting all my expectations 😁,5,2023-01-10T11:43:17-07:00,0.1.3
I’ve always wanted to see my transactions history but can’t please do something about it,5,2022-12-24T23:31:30-07:00,0.1.3
Great App works well and all accounts in. Downside Equity to Equity or MP messages have no transaction slip like Pesalink. Need to include,4,2022-12-23T23:50:08-07:00,0.1.3
First experience and am enjoying the security,5,2022-12-20T03:08:09-07:00,0.1.3
Best banking app,5,2022-12-20T02:05:30-07:00,0.1.3
The system is up and down,5,2022-12-19T23:18:04-07:00,0.1.3
Easy way to open savings and fixed accounts,5,2022-12-18T02:20:22-07:00,0.1.3
Very unreliable app,1,2022-12-17T04:47:54-07:00,0.1.3
"Can’t borrow,every time I try to borrow I get this error message ‘Dear member,we are unable to complete your request at this time.Apologies,please re confirm your details and try again later.JH-402",5,2022-12-14T09:48:56-07:00,0.1.3
It’s great and fast the only thing that is worrying is the security features..,4,2022-12-13T21:01:57-07:00,0.1.3
So easy to use…,5,2022-12-12T06:35:18-07:00,0.1.3
I like the look of the new app. It’s easy to navigate and transact.,5,2022-12-11T00:18:44-07:00,0.1.3
App without using bundles possible??,4,2022-12-10T21:50:11-07:00,0.1.3
How do l get mobile loan,5,2022-12-10T18:46:11-07:00,0.1.3
Amazing experience,5,2022-12-10T05:49:00-07:00,0.1.3
Nice,5,2022-12-09T23:49:49-07:00,0.1.3
I love how the transaction from here to mpesa and vice versa is free.,5,2022-12-09T06:14:24-07:00,0.1.3
The new app is an agglomeration of many good functions. You can transact even when you are abroad.,5,2022-12-09T05:14:56-07:00,0.1.3
The experience is awesome.,5,2022-12-08T11:00:41-07:00,0.1.3
"I’m very satisfied with the equity mobile service, thanks EQUITY. 😉",5,2022-12-08T10:49:36-07:00,0.1.3
"The app is good, yes, but recently it’s been glitching too much. You’re in a dangerous situation where you need to pay asap but the app starts acting up. Please fix this.",3,2022-12-08T09:40:54-07:00,0.1.3
Recommended,5,2022-12-08T06:05:01-07:00,0.1.3
Good technology,5,2022-12-08T05:07:02-07:00,0.1.3
This is a wonderful app. With a cutting edge interface,5,2022-12-07T21:31:06-07:00,0.1.3
Most features working well. I have a challenge getting a loan though!,5,2022-12-07T02:42:10-07:00,0.1.3
"It’s an excellent app, easy to use and I like the security too when sending to yourself and log in. The issue I have is that some functions like loans don’t work and have to use the ssd code. When paying the short term loan also it doesn’t reflect as paid immediately so you can’t access another Loan until you wait maybe a day or 2. If this is rectified then all functions would be 100pc rating.",4,2022-12-07T01:54:49-07:00,0.1.3
Just awesome,5,2022-12-06T23:20:54-07:00,0.1.3
"The best 
Good to manage business",5,2022-12-06T20:06:20-07:00,0.1.3
The application has minimal bugs,5,2022-12-06T18:07:14-07:00,0.1.3
Speedy response,5,2022-12-06T02:10:21-07:00,0.1.3
So far so good,5,2022-12-05T21:41:29-07:00,0.1.3
Doesn’t work on iPhone check on that issue .,1,2022-12-04T06:13:51-07:00,0.1.2
They dont verify transactions neither does customer care help with anything. Wouldn’t recommend this app AT ALL,1,2022-11-29T03:16:04-07:00,0.1.2
The app cannot open past ‘Next’ tab on iPhone 7. Retried multiple times,5,2022-11-09T11:18:16-07:00,0.1.2
The app takes two days to send the verification code why highly disappointed,5,2022-11-06T22:56:11-07:00,0.1.2
On my iPhone 5s I cannot go past the language selection as my app hangs completely and becomes unresponsive,1,2022-11-03T21:16:14-07:00,0.1.2
Verification takes forever. Everything hangs. I have to download this to get a statement. ?????  This bank is the absolute worst.,1,2022-11-02T10:55:24-07:00,0.1.2
I just installed the up but it does want we to login,1,2022-11-02T06:36:41-07:00,0.1.2
Very frustrating. It won’t accept any of my details.,1,2022-11-01T01:33:37-07:00,0.1.2
Takes an eternity to get verified. No customer service chat part for assistance.,1,2022-10-31T04:47:17-07:00,0.1.2
This app moves from good to worse every time it’s updated 😤. Please work on the borrowing part…,5,2022-10-28T05:15:14-07:00,0.1.2
This app doesn’t send me back messages after I have sent money,5,2022-10-11T00:10:55-07:00,0.1.1
"Verification takes long and sometimes will lock your account and you have to call customer service for them to unlock which will take another 48 hours!

This can’t be happening when you have an emergency and need to withdraw money.

This problem has been around for a while and hasn’t been fixed. Just switch to another bank.",5,2022-10-08T23:45:03-07:00,0.1.1
"What’s up with this App? You don’t get the code on text/ email to reset password...
Geez Equity bank, surely you guys can do better!
So basically I can’t ever use this App without having to contact the bank’s customer care?!
Wake up from your slumber! The digital era has been here for a while now!!!",1,2022-10-05T19:59:48-07:00,0.1.1
"Lately the App takes too long to verify transactions and often than desirable the verification becomes unsuccessful. It’s a huge annoyance since it can compromise security. Developers, kindly make the process seamlessly straightforward.",5,2022-10-04T02:22:41-07:00,0.1.1
I can’t unauthorize previous devices after installing the app. - iphone se first Gen-,4,2022-09-27T11:08:21-07:00,0.1.1
Having problem with verification how can it take 48hours and the transaction is emergency,1,2022-09-08T11:57:09-07:00,0.1.1
Using this app on iOS is quite frustrating. Is like they gave administrative privileges for an intern to merge with the main branch. App fails to open even with WiFi and cellular fully online. Everytime sorry no internet connection. Later it refuses user password to login. Everytime server authentication error.,1,2022-09-08T10:52:28-07:00,0.1.1
Is this the real app,5,2022-08-06T08:27:36-07:00,0.0.9
"This is a good App for users; easy to navigate very light on the phone making it super fast, not forgetting the look quite appealing to the eye.",5,2022-08-05T02:12:20-07:00,0.0.9
"This app still doesn’t work on my phone. You should have done thorough tests to ensure your customers aren’t struggling. 
So what about those customers who have relocated and they can’t access any equity bank??",1,2022-08-02T06:13:40-07:00,0.0.9
More stable than the previous one !!!,5,2022-07-30T11:01:32-07:00,0.0.9
I am unable to move beyond the get started option. Does iPhone 7 support the app?,1,2022-07-26T06:46:18-07:00,0.0.9
"Pathetic upgrade
Very unreliable",1,2022-07-26T00:17:42-07:00,0.0.9
App keeps on saying no network try again yet I have over 12gbs of data..I have not been able to log in to my account for weeks now,1,2022-07-17T04:19:28-07:00,0.0.8
So I try logging into my account and I’m prompted with security questions. 2 of which I’m 100% sure I never aswered while signing in. I give answers and I cant log in. Figure out a way of resetting the questions or different ways of verifying,5,2022-07-14T12:19:36-07:00,0.0.8
"This App is great, however, I have had challenges using it, there are days it will just not open even though i have data and a strong connection. It just keeps loading but does not open. Its very frustrating.",3,2022-06-29T08:11:47-07:00,0.0.8
"Can’t get past the sign in page. Keeps saying there’s an issue with my internet. Been a couple of days, no response on the same!",5,2022-06-16T06:49:34-07:00,0.0.8
I’ve been complaining to you that the app keeps crashing. For almost 3 months now. My issue has never been sorted. I can’t even open the app. Turns out I’m not the only one. My workmate has the same issue with the app and he’s has never been fixed yet.,1,2022-06-13T02:00:13-07:00,0.0.7
Works okay sometimes but most of the times it hangs and can really be  embarrassing and frustrating . Works well today tomorrow it doesn’t let you in to transact! Do not depend on it to make transactions anytime!,1,2022-06-08T02:05:22-07:00,0.0.7
"This app doesn’t even launch, and I can’t install it on another device because the authorization code just has to be “auto-read”  from the phone with my sim card. Not to mention Eazzy Banking no longer works now. How am I supposed to access mobile money with this?",1,2022-06-05T09:38:10-07:00,0.0.7
"After using the app for a while, it suddenly stopped working. App won’t even open",1,2022-06-04T06:45:26-07:00,0.0.7
"This app is useless. Even your own staff could not load it in my phone. It is inefficient, basically doesn’t work, look at how customers rate it. Please do not chase me away from a bank I have used for over 15years!",4,2022-06-01T09:52:18-07:00,0.0.7
"Why is this app in prod:

Login barely works and keeps redirecting me to login page multiple times.

Credit cards and prepaid cards appear and disappear anyhow.

App keeps freezing immediately after login.

Absolutely the work user experience of any banking app. It has a lot of potential but the current issues are just unbearable.",5,2022-05-31T02:53:11-07:00,0.0.7
Why is the app not opening? It just opens a white screen then disappears kinda crushes...iOS version,2,2022-05-25T03:10:40-07:00,0.0.7
Doesn’t work on IOS 😤,2,2022-05-17T04:16:38-07:00,0.0.7
"The app has not been working for weeks!!!
Work on it!!
I can’t even give it a star",1,2022-05-15T02:31:19-07:00,0.0.7
Everytime I want to send money I have to exit the app 5 times before I can press “Send Money” or any other function. Ridiculous and wastes a lot of time.,2,2022-05-15T01:21:15-07:00,0.0.7
I try to launch the app but it keeps closing every time I open it ed I can’t fix it,5,2022-05-13T06:17:08-07:00,0.0.7
Very frustrating because its not even launching on my iphone yet the other old eazzy app keeps popping up with error messages suggesting that I should update to this new one,1,2022-05-13T02:37:16-07:00,0.0.7
This app isn’t opening right now,2,2022-05-04T07:47:01-07:00,0.0.7
The developer needs to work on the network calls in the app. Once i log in i receive an error that i have no internet. Maybe the login state is set to false or the network artchitecture is just done wrong thus we recieve all these errors.,1,2022-05-02T01:45:43-07:00,0.0.7
Latest update is not working. You open the app and it shutdown immediately 🙆‍♂️but b4 the update was Fine,1,2022-05-01T01:13:42-07:00,0.0.7
I have been having problem with equity easy banking for some time. I have never been assisted despite calling customer care several times. I decided to download this app after I reviewed your comments in apple store but I still have an issue ! Any time I try logging in I get an error that says “mandatory username or/and password are missing “ please help !!!!,1,2022-04-29T10:44:57-07:00,0.0.7
Been using App for a while till it randomly stopped working or even opening. Very disappointed!!...,5,2022-04-25T05:08:47-07:00,0.0.7
Customer service don’t know how to help,1,2022-04-21T04:44:53-07:00,0.0.7
"The old app was 10x better than this. What's the essence of good interface yet functional side isn't working! I have to try 5x just to login.
Can someone revert to the old app and get it re-activated?",5,2022-04-14T02:51:33-07:00,0.0.6
I have had the app for 2 weeks now; it is unresponsive 80% of the time. I can view balance but cannot transact.,5,2022-04-10T23:55:19-07:00,0.0.6
"I have the older equity app and I am not sure where to get the details to login into this new app. It asks for a password which I don't know how to get plus it won't allow me to sign up as I already have an account. 

Please how do I get to login to this new app.?",1,2022-04-08T23:05:17-07:00,0.0.6
"Self service on iPhone is a nightmare, keeps giving error on verifying information, even when everything is in place 🚮",1,2022-04-04T05:06:42-07:00,0.0.6
I installed the app and register successfully but when I came back I was redirected to login screen which doesn’t work. Also when you hide balance there is no option to unhide,5,2022-03-30T03:17:11-07:00,0.0.6
